城市,保定,北京,成都,佛山,阜阳,广州,贵阳,杭州,合肥,济南,茂名,南昌,南京,莆田,厦门,汕头,上海,绍兴,深圳,石家庄,苏州,太原,唐山,天津,武汉,西安,襄阳,盐城,扬州,长春,长沙,郑州,淄博,常州,淮安,连云港,南宁,徐州,重庆,大连,昆明,南通,宁波,沈阳,无锡,枣庄,青岛,哈尔滨,临沂,乌鲁木齐
时间,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4
24,61,90.3,144.6,44,166.8,50.5,85.3,93.2,142.1,110.6,96,45.6,97.7,50,130.3,61.8,41.3,90,33.7,86.1,70,85.8,32.2,54.9,111.4,168,136.6,123.3,99,56.9,141.6,106.5,73.9,61,140.3,121.2,108.1,119.1,71.4,104.4,28.8,91.1,41.7,77.7,54.2,159.8,67.7,25.7,88.1,83.7
23,88.6,91.9,154.6,40,179.9,55,70.3,91.3,109.8,113.9,83.5,44.4,111.8,54.7,140,62.7,41.8,87.2,34.9,89.3,74.6,94,38.7,89.1,97.7,184.3,147.9,121.7,100,57.7,148.3,110.2,66.2,53.3,153.7,120.8,109.8,121.5,72.1,113.5,36.8,188.9,41.7,78.5,76.7,154.7,74.8,29.9,122.1,76.4
22,93.1,99.6,146.4,37.9,168.7,56.9,70.3,87.6,92.8,108.4,120,38.8,108.9,59.6,141.5,66.5,39.7,88.1,35.5,98.3,69.8,85.3,43.9,74.9,94.6,182.5,150.3,108.3,96.2,67.3,151.7,108,70.9,49.6,145.9,123.5,110.7,125,75.4,122.7,35.9,230.4,39.2,74,75.4,205.6,83.2,33.2,118,90.1
21,86.2,113.4,156.2,40.7,162.8,59.6,74.6,84.3,87.1,101.9,140,47.9,115,59.8,116,66.5,41.4,84.3,35.5,97.7,65,98.6,53.5,57.4,89.4,178.9,155.8,113.6,98.7,72.4,157.8,106.8,79.7,43.8,131.1,113.2,112.9,132.2,73.6,138.9,31.1,195.8,38.6,58,48.6,145.1,91,32.5,146.5,94.8
20,66.8,123.1,133.4,42.8,161.8,57.1,79.7,79.9,88.2,102.4,132,45.7,118,54,103.2,61.5,38.9,78.6,35.5,95.1,51.8,94.4,25.4,57.8,83.4,166.4,155.8,107.9,100,77.2,157.3,113.8,73,39.7,108.6,92.3,122.7,135.6,84,140.9,29.8,145.2,41.4,52.7,37.3,124.3,89,27.2,132.5,107.9
19,78.3,146.9,127.1,44.1,169.5,55,88.9,76.3,89.6,104.7,103.2,48.1,120.5,53,100,60,42.5,78.6,35.5,101.1,43.1,88,29.7,62.5,84,162.7,165.2,102.8,101,90.2,169.7,115,63.1,37.3,100.7,78.4,130.9,142.6,80.5,147.7,33.3,135.7,43.4,52.8,43.5,112.5,92.2,32.9,125.1,116.2
18,92.8,163.2,90,44.1,209,53,95.7,68.8,90.2,104.8,157.9,43.5,128.3,54,101.1,54.3,41.1,74.8,37,117.8,40.8,83.8,26.2,79.1,85.6,147.7,156.7,109.1,109.5,113.6,178.9,112.8,63.3,41.1,94.3,77.9,128.2,149.1,78.4,148,34.3,158.3,49.8,47.8,43.2,120.7,91.1,57.8,122.9,111.8
17,97.4,175.2,90,50.5,192,53,101.4,65.4,92.4,101.9,170,57,128.8,53.1,102.7,48.7,43.7,72.9,39.7,137,40.8,86.6,32,92.4,90.1,141.6,152.5,114.7,112.6,121.7,172.2,108.2,71.7,44.4,85.3,77.9,137.3,155.6,67.4,96.2,33.4,165.8,58.8,50.5,50,123.5,94.9,92.2,94.4,97.9
16,124.4,179.5,81.7,53.4,162,45.8,119.7,62.2,89.8,111.1,222.6,51,134.3,54.1,93.7,46.7,46.3,70.1,42.1,144.6,54.3,96.5,43.4,89.5,85.1,133.6,140.4,110.3,113,121.9,184.4,106.7,81.4,47.8,76.1,79.1,137.5,160.8,63.6,136.4,32.7,189.5,56.3,71.4,70.6,117.2,91.5,77.8,98.3,110.6
15,138.8,138.9,69.1,58.6,188.8,47.6,159.5,59.7,88.9,114.8,78.4,54,120.7,57.3,82.1,40.7,42.5,70.1,44.2,156.1,56,59,39,89.2,84,113.4,125.5,102.9,118.8,78.2,177.8,107.7,79,50.4,69.1,89.5,136,156.3,63.4,141.6,37.6,226.3,67.7,165.1,123,197.1,98.3,80,95.1,113.4
14,136.6,106,66.4,62.9,192.5,51.5,81,61,91.1,114.8,65.7,52.2,109.8,65.3,69.5,37.4,43.8,75.8,46.2,139.7,58.7,61.3,49.5,82.7,85.9,99.5,105.8,95.5,111.2,74.1,165.2,98.2,82.4,50.7,66.9,94.2,110.7,155.8,59.2,181.1,35.3,347.5,69.1,201.6,57.9,175,123.2,76.4,98.6,98.1
13,140.4,88.8,65.6,55.2,205.6,44.4,83.8,53.4,88.2,111.9,87,63,96.2,60.2,67.4,30,37.9,76.8,41.3,130.2,60.6,54.2,50,74.8,78.4,89.3,104.9,83.3,108,86.8,121.9,102.9,86.5,48.3,69.7,91.5,69.9,141.9,54,156.9,33,197.8,62,138,83.6,121.9,122.8,74.9,91.7,98.9
12,147.5,78.8,60.6,52,172.1,52.8,83.1,50.6,96.1,108.6,56.7,62.3,89.1,62.2,61.1,27.9,45,77.7,40.1,133.3,58.1,47.9,59,78.9,75.9,84.8,104.2,87.8,112.6,91.8,116.8,101.1,86.2,46.9,76.2,101,68.7,120.9,51.5,102.7,32.3,139.5,64,94.4,130,124,94.8,73.6,73.8,107
11,147.7,72.7,58.2,52.1,150.9,54.4,90,51.8,100,117.1,60.9,92.6,95.3,60.4,53.7,27.5,48.2,78.6,36.8,141.6,67.2,46,80.2,63.7,74.7,80.7,106.7,98.6,99,76.5,117.6,98.9,85,59.4,78.4,92.9,63.3,108.7,52.4,74.7,28.5,111.9,67.5,73.4,184.1,118.8,108.2,65.5,85,97.7
10,171.5,68.7,56.6,48.4,115.4,53.6,83.3,51.2,89.6,116,55.2,95.3,90.8,54.3,40,26,56.8,77.4,32.8,101.9,70.8,45.5,102,56.5,65.9,79,94.2,90.5,91.7,68.1,114.8,93.4,94.6,70.6,78.7,80,60.7,97.8,49.7,72.5,25.2,123.1,70,66.2,133.4,133.7,101.1,58.5,77.9,97.5
9,154.4,65.2,54.9,46.9,78.6,48.8,82,57.3,95.8,118.7,38,78.1,79.6,47.8,33.8,26.4,55.1,66.1,32.8,82.1,79.9,42.9,78.7,56.4,63.7,78.2,101.2,81.6,92.5,58,111.4,86.7,86.2,67.7,73,61.1,55.5,86.3,51.1,61.8,20.4,101.7,66.4,63,91.6,103.3,101.1,53.1,74.4,123.1
8,122.9,56,55,50,73.6,40,73.1,67.5,92.9,110.3,44,83.7,84.9,41.9,31,24.4,54.9,58.8,35.8,61.1,81,52.9,57.8,63.9,64.5,74.6,110.8,78.9,89.5,47,102.8,88.1,80.6,64.6,60.4,53.3,52.7,84.4,50,57.8,18,74.1,65,63.6,66.7,98.9,86.7,51.7,66.3,127
7,83.1,57.4,63.5,48,79.5,37.5,65.3,74.6,99,106.7,55.6,74.6,72.2,38.1,31,23.6,59.3,63.1,41,52.2,82.1,51.9,65.7,73.6,69,77.8,105.6,74.3,82.6,42.9,99.2,80.2,79,62.6,54.4,50,55.2,90.4,49.5,53.1,16.7,71,62.1,51.2,66,77.9,60.6,44.3,70,118.7
6,61,55.1,60.7,46.7,114.6,32.4,54.7,82.4,109.2,98.8,65.3,66.1,61.6,36.9,27.5,23.2,59.3,72.1,43.8,45.5,89.4,58.8,99.3,73.4,68.3,74.5,66.7,77.3,75.9,41.9,100,78.5,77,58.6,49,45.2,52.3,99.4,51.9,52.5,15,78.1,63.9,41.9,64.7,72.1,61.4,33.3,88.2,116.1
5,52.3,54.2,66.5,49.3,96.4,36.2,47.3,89.9,107.5,92.1,67.4,64.7,75.6,36.4,28.2,21.4,64.2,86.6,45.9,37.3,90.7,54,88.8,72.9,72.8,73.2,63.3,79,68,44.2,99.3,79.6,76.9,55.2,43.2,44.9,52.6,103.6,55.2,47.5,16.7,78.6,64.9,31.3,64.6,84,55.2,28.7,81,111.3
4,42.5,49.4,57.3,50.1,109.4,38.2,45.9,92.8,119.6,92.1,67.4,68.5,90,36.7,29.7,22.6,68,94.4,46.8,38,91.8,60.4,64,62.2,68.2,70.3,67,80.6,66.8,44.2,90.2,76.6,65.8,53.6,43,42.3,53.6,95.1,55.1,42.6,18.3,80.9,62.4,27.2,63.9,98.9,67.7,23,81.9,102.9
3,34.7,50.1,56.3,50.3,118.6,39.6,40.5,93.1,121.3,95.9,66.7,66.1,88.1,35.9,28.8,22.6,78.8,97.1,46.8,32.4,88.2,58.2,41.3,74.7,69.1,69.4,74.7,89.1,60.8,40.9,90.6,71.9,58.3,56.5,45.5,47.7,50.8,107.2,54.7,43.5,19.2,72.6,61.3,25.3,70.7,98.2,60.5,21.3,67.8,75.9
2,28.6,48,69.2,52.2,124.8,40,37.2,95.2,107.8,95.5,102.8,70.9,80.9,36.2,24,22.7,90.9,96,47.8,31.4,85,51.6,42.6,67.5,68.1,69.4,70.2,75,62.6,40.9,84,67.5,58.3,58.5,49,55,50.3,110.8,57.3,38.3,20.3,67.7,63.5,22.3,71.5,104.5,59,19.7,55.2,61.4
1,30.7,42,78.8,55,122.9,42.5,32.4,91.3,72,86.9,55,77.3,97.2,33.8,24.7,24,94.1,97.5,48.6,31,84,45.8,61,49.3,66.8,71.1,58.5,82.9,78,42.2,81.5,53.1,61,58.5,55.5,55.2,47.6,103.6,56.5,37.8,19,81.3,64.9,22.8,64.7,106.7,52.5,17.8,64.8,45.9
